"","Locus.1","Locus.2","p.value","std.err","switches","loci"
"357","Dc02951","Dc16747",0.144084,0.000821,214456,"Dc02951 Dc16747"
"358","Dc03456","Dc16747",1,0,204234,"Dc03456 Dc16747"
"359","Dc03556","Dc16747",1,0,204563,"Dc03556 Dc16747"
"360","Dc05864","Dc16747",0.257812,0.001154,181102,"Dc05864 Dc16747"
"361","Dc06503","Dc16747",1,0,214611,"Dc06503 Dc16747"
"362","Dc07300","Dc16747",0.483192,0.00173,166347,"Dc07300 Dc16747"
"363","Dc07937","Dc16747",1,0,204962,"Dc07937 Dc16747"
"364","Dc08054","Dc16747",0.312544,0.001234,199883,"Dc08054 Dc16747"
"365","Dc08189","Dc16747",0.485414,0.000901,242462,"Dc08189 Dc16747"
"366","Dc08463","Dc16747",1,0,214830,"Dc08463 Dc16747"
"367","Dc08578","Dc16747",0.086782,0.00104,167014,"Dc08578 Dc16747"
"368","Dc08865","Dc16747",1,0,166966,"Dc08865 Dc16747"
"369","Dc10003","Dc16747",NA,NA,NA,"Dc10003 Dc16747"
"370","Dc10390","Dc16747",0.428606,0.000733,213483,"Dc10390 Dc16747"
"371","Dc10878","Dc16747",1,0,190570,"Dc10878 Dc16747"
"372","Dc10885","Dc16747",1,0,159991,"Dc10885 Dc16747"
"373","Dc11203","Dc16747",0.142672,0.000749,214334,"Dc11203 Dc16747"
"374","Dc11714","Dc16747",1,0,181489,"Dc11714 Dc16747"
"375","Dc13159","Dc16747",1,0,166921,"Dc13159 Dc16747"
"376","Dc13592","Dc16747",1,0,164198,"Dc13592 Dc16747"
"377","Dc14022","Dc16747",1,0,214472,"Dc14022 Dc16747"
"378","Dc14945","Dc16747",NA,NA,NA,"Dc14945 Dc16747"
"379","Dc00544","Dc18951",1,0,181130,"Dc00544 Dc18951"
"380","Dc01018","Dc18951",1,0,180979,"Dc01018 Dc18951"
"381","Dc01661","Dc18951",1,0,204499,"Dc01661 Dc18951"
"382","Dc01707","Dc18951",1,0,166894,"Dc01707 Dc18951"
"383","Dc01784","Dc18951",1,0,204761,"Dc01784 Dc18951"
"384","Dc02951","Dc18951",1,0,214390,"Dc02951 Dc18951"
"385","Dc03456","Dc18951",1,0,204852,"Dc03456 Dc18951"
"386","Dc03556","Dc18951",1,0,204569,"Dc03556 Dc18951"
"387","Dc05864","Dc18951",1,0,180208,"Dc05864 Dc18951"
"388","Dc06503","Dc18951",1,0,214569,"Dc06503 Dc18951"
"389","Dc07300","Dc18951",1,0,166454,"Dc07300 Dc18951"
"390","Dc07937","Dc18951",1,0,204319,"Dc07937 Dc18951"
"391","Dc08054","Dc18951",1,0,200337,"Dc08054 Dc18951"
"392","Dc08189","Dc18951",1,0,242659,"Dc08189 Dc18951"
"393","Dc08463","Dc18951",1,0,214857,"Dc08463 Dc18951"
"394","Dc08578","Dc18951",1,0,166167,"Dc08578 Dc18951"
"395","Dc08865","Dc18951",1,0,166953,"Dc08865 Dc18951"
"396","Dc10003","Dc18951",NA,NA,NA,"Dc10003 Dc18951"
"397","Dc10390","Dc18951",0.1433,0.000855,214605,"Dc10390 Dc18951"
"398","Dc10878","Dc18951",1,0,190428,"Dc10878 Dc18951"
"399","Dc10885","Dc18951",0.14077,0.001407,160209,"Dc10885 Dc18951"
"400","Dc11203","Dc18951",0.428268,0.000789,214792,"Dc11203 Dc18951"
"401","Dc11714","Dc18951",0.4274,0.001129,181206,"Dc11714 Dc18951"
"402","Dc13159","Dc18951",1,0,166367,"Dc13159 Dc18951"
"403","Dc13592","Dc18951",0.48682,0.001718,164599,"Dc13592 Dc18951"
"404","Dc14022","Dc18951",1,0,214144,"Dc14022 Dc18951"
"405","Dc14945","Dc18951",NA,NA,NA,"Dc14945 Dc18951"
"406","Dc16747","Dc18951",1,0,242834,"Dc16747 Dc18951"
"407","Dc00544","Dc20232",1,0,95660,"Dc00544 Dc20232"
"408","Dc01018","Dc20232",0.428642,0.001596,95276,"Dc01018 Dc20232"
"409","Dc01661","Dc20232",1,0,118662,"Dc01661 Dc20232"
"410","Dc01707","Dc20232",1,0,83306,"Dc01707 Dc20232"
"411","Dc01784","Dc20232",1,0,119863,"Dc01784 Dc20232"
"412","Dc02951","Dc20232",1,0,142776,"Dc02951 Dc20232"
"413","Dc03456","Dc20232",0.14209,0.000812,119037,"Dc03456 Dc20232"
"414","Dc03556","Dc20232",1,0,119236,"Dc03556 Dc20232"
"415","Dc05864","Dc20232",1,0,95528,"Dc05864 Dc20232"
"416","Dc06503","Dc20232",1,0,71712,"Dc06503 Dc20232"
"417","Dc07300","Dc20232",0.573904,0.001966,83837,"Dc07300 Dc20232"
"418","Dc07937","Dc20232",0.142664,0.001014,119149,"Dc07937 Dc20232"
"419","Dc08054","Dc20232",1,0,142996,"Dc08054 Dc20232"
"420","Dc08189","Dc20232",1,0,214553,"Dc08189 Dc20232"
"421","Dc08463","Dc20232",1,0,71756,"Dc08463 Dc20232"
"422","Dc08578","Dc20232",0.570002,0.002039,83128,"Dc08578 Dc20232"
"423","Dc08865","Dc20232",0.284676,0.001641,83476,"Dc08865 Dc20232"
"424","Dc10003","Dc20232",NA,NA,NA,"Dc10003 Dc20232"
"425","Dc10390","Dc20232",0.284612,0.000854,142827,"Dc10390 Dc20232"
"426","Dc10878","Dc20232",1,0,71272,"Dc10878 Dc20232"
"427","Dc10885","Dc20232",1,0,71141,"Dc10885 Dc20232"
"428","Dc11203","Dc20232",1,0,142754,"Dc11203 Dc20232"
"429","Dc11714","Dc20232",1,0,95207,"Dc11714 Dc20232"
"430","Dc13159","Dc20232",1,0,83710,"Dc13159 Dc20232"
"431","Dc13592","Dc20232",0.428134,0.00238,71649,"Dc13592 Dc20232"
"432","Dc14022","Dc20232",1,0,71074,"Dc14022 Dc20232"
"433","Dc14945","Dc20232",NA,NA,NA,"Dc14945 Dc20232"
"434","Dc16747","Dc20232",1,0,214239,"Dc16747 Dc20232"
"435","Dc18951","Dc20232",0.429198,0.000837,214948,"Dc18951 Dc20232"
"436","Dc00544","Dc22883",1,0,67345,"Dc00544 Dc22883"
"437","Dc01018","Dc22883",0.771092,0.002909,67483,"Dc01018 Dc22883"
"438","Dc01661","Dc22883",0.744678,0.002686,73377,"Dc01661 Dc22883"
"439","Dc01707","Dc22883",1,0,47185,"Dc01707 Dc22883"
"440","Dc01784","Dc22883",1,0,73829,"Dc01784 Dc22883"
"441","Dc02951","Dc22883",1,0,128606,"Dc02951 Dc22883"
"442","Dc03456","Dc22883",0.741986,0.002826,73432,"Dc03456 Dc22883"
"443","Dc03556","Dc22883",0.740798,0.003359,73823,"Dc03556 Dc22883"
"444","Dc05864","Dc22883",0.773382,0.002837,67631,"Dc05864 Dc22883"
"445","Dc06503","Dc22883",0.573836,0.00274,71454,"Dc06503 Dc22883"
"446","Dc07300","Dc22883",1,0,47013,"Dc07300 Dc22883"
"447","Dc07937","Dc22883",1,0,73526,"Dc07937 Dc22883"
"448","Dc08054","Dc22883",0.660098,0.002983,80765,"Dc08054 Dc22883"
"449","Dc08189","Dc22883",1,0,159894,"Dc08189 Dc22883"
"450","Dc08463","Dc22883",0.57344,0.002804,71622,"Dc08463 Dc22883"
"451","Dc08578","Dc22883",0.520238,0.005354,46716,"Dc08578 Dc22883"
"452","Dc08865","Dc22883",1,0,46885,"Dc08865 Dc22883"
"453","Dc10003","Dc22883",NA,NA,NA,"Dc10003 Dc22883"
"454","Dc10390","Dc22883",1,0,129003,"Dc10390 Dc22883"
"455","Dc10878","Dc22883",0.856356,0.002737,50386,"Dc10878 Dc22883"
"456","Dc10885","Dc22883",1,0,32194,"Dc10885 Dc22883"
"457","Dc11203","Dc22883",1,0,128526,"Dc11203 Dc22883"
"458","Dc11714","Dc22883",0.77441,0.003038,67407,"Dc11714 Dc22883"
"459","Dc13159","Dc22883",0.518746,0.005302,46744,"Dc13159 Dc22883"
"460","Dc13592","Dc22883",0.634472,0.005042,39451,"Dc13592 Dc22883"
"461","Dc14022","Dc22883",0.569538,0.002951,71097,"Dc14022 Dc22883"
"462","Dc14945","Dc22883",NA,NA,NA,"Dc14945 Dc22883"
"463","Dc16747","Dc22883",1,0,159753,"Dc16747 Dc22883"
"464","Dc18951","Dc22883",1,0,159596,"Dc18951 Dc22883"
"465","Dc20232","Dc22883",1,0,71196,"Dc20232 Dc22883"
"466","Dc00544","Dc22887",0.618532,0.001091,159422,"Dc00544 Dc22887"
"467","Dc01018","Dc22887",0.141238,0.00116,159100,"Dc01018 Dc22887"
"468","Dc01661","Dc22887",0.570238,0.001433,166311,"Dc01661 Dc22887"
"469","Dc01707","Dc22887",0.713492,0.001379,139065,"Dc01707 Dc22887"
"470","Dc01784","Dc22887",0.571208,0.001376,166318,"Dc01784 Dc22887"
"471","Dc02951","Dc22887",0.52333,0.000604,261355,"Dc02951 Dc22887"
"472","Dc03456","Dc22887",0.570122,0.001312,166280,"Dc03456 Dc22887"
"473","Dc03556","Dc22887",1,0,167301,"Dc03556 Dc22887"
"474","Dc05864","Dc22887",0.61855,0.001184,158880,"Dc05864 Dc22887"
"475","Dc06503","Dc22887",1,0,142667,"Dc06503 Dc22887"
"476","Dc07300","Dc22887",1,0,138636,"Dc07300 Dc22887"
"477","Dc07937","Dc22887",0.57076,0.001401,166232,"Dc07937 Dc22887"
"478","Dc08054","Dc22887",1,0,190518,"Dc08054 Dc22887"
"479","Dc08189","Dc22887",1,0,214255,"Dc08189 Dc22887"
"480","Dc08463","Dc22887",1,0,142567,"Dc08463 Dc22887"
"481","Dc08578","Dc22887",0.283892,0.002088,138865,"Dc08578 Dc22887"
"482","Dc08865","Dc22887",0.715456,0.001628,139427,"Dc08865 Dc22887"
"483","Dc10003","Dc22887",NA,NA,NA,"Dc10003 Dc22887"
"484","Dc10390","Dc22887",1,0,262643,"Dc10390 Dc22887"
"485","Dc10878","Dc22887",1,0,134722,"Dc10878 Dc22887"
"486","Dc10885","Dc22887",1,0,128508,"Dc10885 Dc22887"
"487","Dc11203","Dc22887",0.523346,0.000671,261682,"Dc11203 Dc22887"
"488","Dc11714","Dc22887",0.61876,0.00135,158647,"Dc11714 Dc22887"
"489","Dc13159","Dc22887",0.712962,0.001596,138476,"Dc13159 Dc22887"
"490","Dc13592","Dc22887",0.714302,0.001939,130847,"Dc13592 Dc22887"
"491","Dc14022","Dc22887",1,0,142950,"Dc14022 Dc22887"
"492","Dc14945","Dc22887",NA,NA,NA,"Dc14945 Dc22887"
"493","Dc16747","Dc22887",0.428978,0.000833,214335,"Dc16747 Dc22887"
"494","Dc18951","Dc22887",1,0,214586,"Dc18951 Dc22887"
"495","Dc20232","Dc22887",0.287872,0.000688,143118,"Dc20232 Dc22887"
"496","Dc22883","Dc22887",1,0,128823,"Dc22883 Dc22887"
"497","Dc00544","Dc27955",0.114736,0.001391,112771,"Dc00544 Dc27955"
"498","Dc01018","Dc27955",0.658076,0.002131,112839,"Dc01018 Dc27955"
"499","Dc01661","Dc27955",1,0,120297,"Dc01661 Dc27955"
"500","Dc01707","Dc27955",0.830436,0.001943,91974,"Dc01707 Dc27955"
"501","Dc01784","Dc27955",0.489044,0.002288,120593,"Dc01784 Dc27955"
"502","Dc02951","Dc27955",1,0,166831,"Dc02951 Dc27955"
"503","Dc03456","Dc27955",0.098082,0.001603,120781,"Dc03456 Dc27955"
"504","Dc03556","Dc27955",1,0,120058,"Dc03556 Dc27955"
"505","Dc05864","Dc27955",1,0,112570,"Dc05864 Dc27955"
"506","Dc06503","Dc27955",1,0,118834,"Dc06503 Dc27955"
"507","Dc07300","Dc27955",0.228924,0.00259,92672,"Dc07300 Dc27955"
"508","Dc07937","Dc27955",0.483646,0.00185,120159,"Dc07937 Dc27955"
"509","Dc08054","Dc27955",0.829206,0.001443,134665,"Dc08054 Dc27955"
"510","Dc08189","Dc27955",1,0,203857,"Dc08189 Dc27955"
"511","Dc08463","Dc27955",1,0,118703,"Dc08463 Dc27955"
"512","Dc08578","Dc27955",0.232028,0.002322,92285,"Dc08578 Dc27955"
"513","Dc08865","Dc27955",0.224388,0.002292,92563,"Dc08865 Dc27955"
"514","Dc10003","Dc27955",NA,NA,NA,"Dc10003 Dc27955"
"515","Dc10390","Dc27955",1,0,166068,"Dc10390 Dc27955"
"516","Dc10878","Dc27955",0.570392,0.002151,91454,"Dc10878 Dc27955"
"517","Dc10885","Dc27955",0.743886,0.002925,74038,"Dc10885 Dc27955"
"518","Dc11203","Dc27955",0.572466,0.001389,166559,"Dc11203 Dc27955"
"519","Dc11714","Dc27955",1,0,113452,"Dc11714 Dc27955"
"520","Dc13159","Dc27955",0.825854,0.001859,92235,"Dc13159 Dc27955"
"521","Dc13592","Dc27955",0.229808,0.002327,82367,"Dc13592 Dc27955"
"522","Dc14022","Dc27955",1,0,118864,"Dc14022 Dc27955"
"523","Dc14945","Dc27955",NA,NA,NA,"Dc14945 Dc27955"
"524","Dc16747","Dc27955",1,0,204596,"Dc16747 Dc27955"
"525","Dc18951","Dc27955",1,0,204378,"Dc18951 Dc27955"
"526","Dc20232","Dc27955",1,0,118986,"Dc20232 Dc27955"
"527","Dc22883","Dc27955",0.741164,0.002827,73439,"Dc22883 Dc27955"
"528","Dc22887","Dc27955",0.570328,0.001468,166698,"Dc22887 Dc27955"
"529","Dc00544","Dc28124",1,0,95162,"Dc00544 Dc28124"
"530","Dc01018","Dc28124",1,0,95109,"Dc01018 Dc28124"
"531","Dc01661","Dc28124",1,0,119045,"Dc01661 Dc28124"
"532","Dc01707","Dc28124",1,0,83204,"Dc01707 Dc28124"
"533","Dc01784","Dc28124",1,0,118763,"Dc01784 Dc28124"
"534","Dc02951","Dc28124",1,0,143146,"Dc02951 Dc28124"
"535","Dc03456","Dc28124",1,0,118742,"Dc03456 Dc28124"
"536","Dc03556","Dc28124",1,0,118896,"Dc03556 Dc28124"
"537","Dc05864","Dc28124",0.144272,0.000952,94846,"Dc05864 Dc28124"
"538","Dc06503","Dc28124",0.142156,0.000857,71352,"Dc06503 Dc28124"
"539","Dc07300","Dc28124",0.571378,0.002317,83206,"Dc07300 Dc28124"
"540","Dc07937","Dc28124",1,0,118851,"Dc07937 Dc28124"
"541","Dc08054","Dc28124",1,0,143136,"Dc08054 Dc28124"
"542","Dc08189","Dc28124",1,0,214511,"Dc08189 Dc28124"
"543","Dc08463","Dc28124",0.142376,0.000801,71298,"Dc08463 Dc28124"
"544","Dc08578","Dc28124",0.572346,0.002032,83904,"Dc08578 Dc28124"
"545","Dc08865","Dc28124",0.567662,0.002224,82802,"Dc08865 Dc28124"
"546","Dc10003","Dc28124",NA,NA,NA,"Dc10003 Dc28124"
"547","Dc10390","Dc28124",1,0,142946,"Dc10390 Dc28124"
"548","Dc10878","Dc28124",1,0,71323,"Dc10878 Dc28124"
"549","Dc10885","Dc28124",0.571456,0.002855,71704,"Dc10885 Dc28124"
"550","Dc11203","Dc28124",1,0,143194,"Dc11203 Dc28124"
"551","Dc11714","Dc28124",0.429264,0.001783,95429,"Dc11714 Dc28124"
"552","Dc13159","Dc28124",0.570376,0.001747,83168,"Dc13159 Dc28124"
"553","Dc13592","Dc28124",0.424062,0.002397,71312,"Dc13592 Dc28124"
"554","Dc14022","Dc28124",0.142152,0.000863,71289,"Dc14022 Dc28124"
"555","Dc14945","Dc28124",NA,NA,NA,"Dc14945 Dc28124"
"556","Dc16747","Dc28124",1,0,214503,"Dc16747 Dc28124"
"557","Dc18951","Dc28124",1,0,214539,"Dc18951 Dc28124"
"558","Dc20232","Dc28124",1,0,71272,"Dc20232 Dc28124"
"559","Dc22883","Dc28124",0.569148,0.002744,71362,"Dc22883 Dc28124"
"560","Dc22887","Dc28124",1,0,143490,"Dc22887 Dc28124"
"561","Dc27955","Dc28124",1,0,119236,"Dc27955 Dc28124"
"562","Dc00544","Dc28776",1,0,106930,"Dc00544 Dc28776"
"563","Dc01018","Dc28776",0.122748,0.001484,106536,"Dc01018 Dc28776"
"564","Dc01661","Dc28776",1,0,112901,"Dc01661 Dc28776"
"565","Dc01707","Dc28776",1,0,85875,"Dc01707 Dc28776"
"566","Dc01784","Dc28776",0.660164,0.001906,113026,"Dc01784 Dc28776"
"567","Dc02951","Dc28776",0.621878,0.001243,159334,"Dc02951 Dc28776"
"568","Dc03456","Dc28776",1,0,112849,"Dc03456 Dc28776"
"569","Dc03556","Dc28776",0.656944,0.001855,112647,"Dc03556 Dc28776"
"570","Dc05864","Dc28776",0.427906,0.00229,106334,"Dc05864 Dc28776"
"571","Dc06503","Dc28776",0.428488,0.001705,95021,"Dc06503 Dc28776"
"572","Dc07300","Dc28776",0.88445,0.001776,85976,"Dc07300 Dc28776"
"573","Dc07937","Dc28776",0.657526,0.001866,112103,"Dc07937 Dc28776"
"574","Dc08054","Dc28776",0.427036,0.001916,131064,"Dc08054 Dc28776"
"575","Dc08189","Dc28776",0.654952,0.001357,180878,"Dc08189 Dc28776"
"576","Dc08463","Dc28776",0.426334,0.001601,95320,"Dc08463 Dc28776"
"577","Dc08578","Dc28776",0.88449,0.001846,85922,"Dc08578 Dc28776"
"578","Dc08865","Dc28776",0.88535,0.001772,85698,"Dc08865 Dc28776"
"579","Dc10003","Dc28776",NA,NA,NA,"Dc10003 Dc28776"
"580","Dc10390","Dc28776",0.619762,0.00107,158790,"Dc10390 Dc28776"
"581","Dc10878","Dc28776",1,0,81999,"Dc10878 Dc28776"
"582","Dc10885","Dc28776",0.1121,0.002511,67958,"Dc10885 Dc28776"
"583","Dc11203","Dc28776",1,0,158240,"Dc11203 Dc28776"
"584","Dc11714","Dc28776",1,0,106532,"Dc11714 Dc28776"
"585","Dc13159","Dc28776",0.886436,0.001894,85867,"Dc13159 Dc28776"
"586","Dc13592","Dc28776",1,0,74846,"Dc13592 Dc28776"
"587","Dc14022","Dc28776",0.42984,0.00174,95354,"Dc14022 Dc28776"
"588","Dc14945","Dc28776",NA,NA,NA,"Dc14945 Dc28776"
"589","Dc16747","Dc28776",1,0,181125,"Dc16747 Dc28776"
"590","Dc18951","Dc28776",0.25558,0.001263,181553,"Dc18951 Dc28776"
"591","Dc20232","Dc28776",1,0,95564,"Dc20232 Dc28776"
"592","Dc22883","Dc28776",0.773006,0.00306,67886,"Dc22883 Dc28776"
"593","Dc22887","Dc28776",0.333956,0.001719,158748,"Dc22887 Dc28776"
"594","Dc27955","Dc28776",0.655152,0.002159,112223,"Dc27955 Dc28776"
"595","Dc28124","Dc28776",0.428594,0.00167,95085,"Dc28124 Dc28776"
"596","Dc00544","Dc30071",0.139192,0.002049,82174,"Dc00544 Dc30071"
"597","Dc01018","Dc30071",0.714812,0.002338,82439,"Dc01018 Dc30071"
"598","Dc01661","Dc30071",1,0,90877,"Dc01661 Dc30071"
"599","Dc01707","Dc30071",0.282432,0.003068,65779,"Dc01707 Dc30071"
"600","Dc01784","Dc30071",0.29,0.002127,91279,"Dc01784 Dc30071"
"601","Dc02951","Dc30071",0.525306,0.001738,135142,"Dc02951 Dc30071"
"602","Dc03456","Dc30071",0.568472,0.002174,91902,"Dc03456 Dc30071"
"603","Dc03556","Dc30071",0.28482,0.002096,91659,"Dc03556 Dc30071"
"604","Dc05864","Dc30071",0.715444,0.002349,82088,"Dc05864 Dc30071"
"605","Dc06503","Dc30071",1,0,71239,"Dc06503 Dc30071"
"606","Dc07300","Dc30071",0.5687,0.003211,65599,"Dc07300 Dc30071"
"607","Dc07937","Dc30071",1,0,91677,"Dc07937 Dc30071"
"608","Dc08054","Dc30071",1,0,110953,"Dc08054 Dc30071"
"609","Dc08189","Dc30071",1,0,191326,"Dc08189 Dc30071"
"610","Dc08463","Dc30071",1,0,70737,"Dc08463 Dc30071"
"611","Dc08578","Dc30071",1,0,65131,"Dc08578 Dc30071"
"612","Dc08865","Dc30071",0.568468,0.003215,65196,"Dc08865 Dc30071"
"613","Dc10003","Dc30071",NA,NA,NA,"Dc10003 Dc30071"
"614","Dc10390","Dc30071",1,0,134793,"Dc10390 Dc30071"
"615","Dc10878","Dc30071",0.521224,0.003163,59030,"Dc10878 Dc30071"
"616","Dc10885","Dc30071",0.28726,0.004199,49909,"Dc10885 Dc30071"
"617","Dc11203","Dc30071",0.047328,0.000657,134939,"Dc11203 Dc30071"
"618","Dc11714","Dc30071",0.711668,0.002376,82271,"Dc11714 Dc30071"
"619","Dc13159","Dc30071",0.573966,0.003571,65542,"Dc13159 Dc30071"
"620","Dc13592","Dc30071",1,0,54352,"Dc13592 Dc30071"
"621","Dc14022","Dc30071",1,0,71218,"Dc14022 Dc30071"
"622","Dc14945","Dc30071",NA,NA,NA,"Dc14945 Dc30071"
"623","Dc16747","Dc30071",0.144224,0.000999,190267,"Dc16747 Dc30071"
"624","Dc18951","Dc30071",1,0,190270,"Dc18951 Dc30071"
"625","Dc20232","Dc30071",1,0,71750,"Dc20232 Dc30071"
"626","Dc22883","Dc30071",1,0,50217,"Dc22883 Dc30071"
"627","Dc22887","Dc30071",1,0,135153,"Dc22887 Dc30071"
"628","Dc27955","Dc30071",0.573536,0.002449,91372,"Dc27955 Dc30071"
"629","Dc28124","Dc30071",1,0,71103,"Dc28124 Dc30071"
"630","Dc28776","Dc30071",0.714712,0.002194,82302,"Dc28776 Dc30071"
"631","Dc00544","Dc31007",NA,NA,NA,"Dc00544 Dc31007"
"632","Dc01018","Dc31007",NA,NA,NA,"Dc01018 Dc31007"
"633","Dc01661","Dc31007",NA,NA,NA,"Dc01661 Dc31007"
"634","Dc01707","Dc31007",NA,NA,NA,"Dc01707 Dc31007"
"635","Dc01784","Dc31007",NA,NA,NA,"Dc01784 Dc31007"
"636","Dc02951","Dc31007",NA,NA,NA,"Dc02951 Dc31007"
"637","Dc03456","Dc31007",NA,NA,NA,"Dc03456 Dc31007"
"638","Dc03556","Dc31007",NA,NA,NA,"Dc03556 Dc31007"
"639","Dc05864","Dc31007",NA,NA,NA,"Dc05864 Dc31007"
"640","Dc06503","Dc31007",NA,NA,NA,"Dc06503 Dc31007"
"641","Dc07300","Dc31007",NA,NA,NA,"Dc07300 Dc31007"
"642","Dc07937","Dc31007",NA,NA,NA,"Dc07937 Dc31007"
"643","Dc08054","Dc31007",NA,NA,NA,"Dc08054 Dc31007"
"644","Dc08189","Dc31007",NA,NA,NA,"Dc08189 Dc31007"
"645","Dc08463","Dc31007",NA,NA,NA,"Dc08463 Dc31007"
"646","Dc08578","Dc31007",NA,NA,NA,"Dc08578 Dc31007"
"647","Dc08865","Dc31007",NA,NA,NA,"Dc08865 Dc31007"
"648","Dc10003","Dc31007",NA,NA,NA,"Dc10003 Dc31007"
"649","Dc10390","Dc31007",NA,NA,NA,"Dc10390 Dc31007"
"650","Dc10878","Dc31007",NA,NA,NA,"Dc10878 Dc31007"
"651","Dc10885","Dc31007",NA,NA,NA,"Dc10885 Dc31007"
"652","Dc11203","Dc31007",NA,NA,NA,"Dc11203 Dc31007"
"653","Dc11714","Dc31007",NA,NA,NA,"Dc11714 Dc31007"
"654","Dc13159","Dc31007",NA,NA,NA,"Dc13159 Dc31007"
"655","Dc13592","Dc31007",NA,NA,NA,"Dc13592 Dc31007"
"656","Dc14022","Dc31007",NA,NA,NA,"Dc14022 Dc31007"
"657","Dc14945","Dc31007",NA,NA,NA,"Dc14945 Dc31007"
"658","Dc16747","Dc31007",NA,NA,NA,"Dc16747 Dc31007"
"659","Dc18951","Dc31007",NA,NA,NA,"Dc18951 Dc31007"
"660","Dc20232","Dc31007",NA,NA,NA,"Dc20232 Dc31007"
"661","Dc22883","Dc31007",NA,NA,NA,"Dc22883 Dc31007"
"662","Dc22887","Dc31007",NA,NA,NA,"Dc22887 Dc31007"
"663","Dc27955","Dc31007",NA,NA,NA,"Dc27955 Dc31007"
"664","Dc28124","Dc31007",NA,NA,NA,"Dc28124 Dc31007"
"665","Dc28776","Dc31007",NA,NA,NA,"Dc28776 Dc31007"
"666","Dc30071","Dc31007",NA,NA,NA,"Dc30071 Dc31007"
"667","Dc00544","Dc33714",0.657666,0.00202,112441,"Dc00544 Dc33714"
"668","Dc01018","Dc33714",0.113548,0.00144,112489,"Dc01018 Dc33714"
"669","Dc01661","Dc33714",1,0,120783,"Dc01661 Dc33714"
"670","Dc01707","Dc33714",0.23015,0.002095,92806,"Dc01707 Dc33714"
"671","Dc01784","Dc33714",0.4828,0.001801,120330,"Dc01784 Dc33714"
"672","Dc02951","Dc33714",1,0,166979,"Dc02951 Dc33714"
"673","Dc03456","Dc33714",1,0,119972,"Dc03456 Dc33714"
"674","Dc03556","Dc33714",0.484172,0.001876,120197,"Dc03556 Dc33714"
"675","Dc05864","Dc33714",0.115776,0.001427,112987,"Dc05864 Dc33714"
"676","Dc06503","Dc33714",0.141828,0.001013,119071,"Dc06503 Dc33714"
"677","Dc07300","Dc33714",0.829208,0.001879,92374,"Dc07300 Dc33714"
"678","Dc07937","Dc33714",0.4856,0.001924,119716,"Dc07937 Dc33714"
"679","Dc08054","Dc33714",1,0,135094,"Dc08054 Dc33714"
"680","Dc08189","Dc33714",1,0,204489,"Dc08189 Dc33714"
"681","Dc08463","Dc33714",0.14237,0.000993,118860,"Dc08463 Dc33714"
"682","Dc08578","Dc33714",0.827368,0.001919,92469,"Dc08578 Dc33714"
"683","Dc08865","Dc33714",0.827394,0.001676,92761,"Dc08865 Dc33714"
"684","Dc10003","Dc33714",NA,NA,NA,"Dc10003 Dc33714"
"685","Dc10390","Dc33714",1,0,167029,"Dc10390 Dc33714"
"686","Dc10878","Dc33714",1,0,91187,"Dc10878 Dc33714"
"687","Dc10885","Dc33714",0.741096,0.003257,74037,"Dc10885 Dc33714"
"688","Dc11203","Dc33714",1,0,167379,"Dc11203 Dc33714"
"689","Dc11714","Dc33714",0.659396,0.002033,113452,"Dc11714 Dc33714"
"690","Dc13159","Dc33714",0.05619,0.001564,92164,"Dc13159 Dc33714"
"691","Dc13592","Dc33714",0.487654,0.003303,82188,"Dc13592 Dc33714"
"692","Dc14022","Dc33714",0.143508,0.000905,119034,"Dc14022 Dc33714"
"693","Dc14945","Dc33714",NA,NA,NA,"Dc14945 Dc33714"
"694","Dc16747","Dc33714",1,0,204630,"Dc16747 Dc33714"
"695","Dc18951","Dc33714",1,0,204857,"Dc18951 Dc33714"
"696","Dc20232","Dc33714",1,0,119174,"Dc20232 Dc33714"
"697","Dc22883","Dc33714",0.743042,0.003228,73465,"Dc22883 Dc33714"
"698","Dc22887","Dc33714",0.572602,0.00143,166889,"Dc22887 Dc33714"
"699","Dc27955","Dc33714",1,0,120301,"Dc27955 Dc33714"
"700","Dc28124","Dc33714",0.142644,0.001091,118772,"Dc28124 Dc33714"
"701","Dc28776","Dc33714",0.657906,0.001968,113581,"Dc28776 Dc33714"
"702","Dc30071","Dc33714",1,0,91608,"Dc30071 Dc33714"
"703","Dc31007","Dc33714",NA,NA,NA,"Dc31007 Dc33714"
"704","Dc00544","Dc33907",1,0,181131,"Dc00544 Dc33907"
"705","Dc01018","Dc33907",0.65607,0.001263,181388,"Dc01018 Dc33907"
"706","Dc01661","Dc33907",1,0,204662,"Dc01661 Dc33907"
"707","Dc01707","Dc33907",0.483812,0.001867,166879,"Dc01707 Dc33907"
"708","Dc01784","Dc33907",1,0,204606,"Dc01784 Dc33907"
"709","Dc02951","Dc33907",0.427466,0.000755,214094,"Dc02951 Dc33907"
"710","Dc03456","Dc33907",1,0,205163,"Dc03456 Dc33907"
"711","Dc03556","Dc33907",1,0,204586,"Dc03556 Dc33907"
"712","Dc05864","Dc33907",0.256638,0.001224,181186,"Dc05864 Dc33907"
"713","Dc06503","Dc33907",1,0,214474,"Dc06503 Dc33907"
"714","Dc07300","Dc33907",1,0,166837,"Dc07300 Dc33907"
"715","Dc07937","Dc33907",0.226916,0.001165,205268,"Dc07937 Dc33907"
"716","Dc08054","Dc33907",0.314388,0.001276,199809,"Dc08054 Dc33907"
